date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-04 13:32:44,_ImJuice,_Tgoody,0,1,0,"Nbs ",,,,1268536166367793154,https://twitter.com/_ImJuice/status/1268536166367793154
2020-06-04 13:32:35,RWoloshin,Acyn,1,0,5,"Was never about being an athlete - was about being black",,,,1268536125892841479,https://twitter.com/RWoloshin/status/1268536125892841479
2020-06-04 13:31:26,kayla_blank96,,0,1,3,"#BlackLivesMatter prior to this photo 16 of us were trapped in an alley, tear gassed, tackled and arrested. We were all peacefully protesting but it was after curfew. The violent action from RPD is only in response to violent riots; please spread love and positivity.",,,#BlackLivesMatter #BlackLivesMatter,1268535838419439617,https://twitter.com/kayla_blank96/status/1268535838419439617
2020-06-04 13:31:14,_alexisscott,,1,11,26,"",,,,1268535786112237570,https://twitter.com/_alexisscott/status/1268535786112237570
2020-06-04 13:31:10,pacobjarker,nata_rosay,0,0,1,"no fuck you you little bitch",,,,1268535771738275840,https://twitter.com/pacobjarker/status/1268535771738275840
2020-06-04 13:30:32,EricaMokun,,2,7,19," HAPPENING TODAY — @GovernorVA is expected to announce the removal of the Robert E. Lee monument. Join me in this thread as I live tweet real time updates at 11 AM. #richmondprotest #RICHMOND – at Robert E. Lee Monument",,@GovernorVA,#richmondprotest #RICHMOND,1268535611721474049,https://twitter.com/EricaMokun/status/1268535611721474049
2020-06-04 13:30:17,Brendt_Pates,LightsCameraPod,1,0,3,"Thank you for the shoutout from my very close personal friends @JeffDLowe @JackKennedy I’ll release some more free of charge",,@JeffDLowe @JackKennedy,,1268535547385036801,https://twitter.com/Brendt_Pates/status/1268535547385036801
2020-06-04 13:29:54,_ImJuice,dARTIST_,0,0,1,"No Cap..",,,,1268535452610506753,https://twitter.com/_ImJuice/status/1268535452610506753
2020-06-04 13:29:36,Radioblitz,,0,7,29,"So instead of just getting happy when we see bloods and crips unified walking in the Street. I’m gonna be even happier seeing devout Muslims, Christians, 5 percenters and Hebrew Israelites holding hands walking in the street",,,,1268535376584626178,https://twitter.com/Radioblitz/status/1268535376584626178
2020-06-04 13:29:17,maieshahawkins,,0,0,0,"Now the masses protesting against Isao... the infamous weight loss tea! Come on ppl!",,,,1268535296293048322,https://twitter.com/maieshahawkins/status/1268535296293048322
2020-06-04 13:29:03,IanRVA,,0,0,2,"If y’all are interested in doing some reading may I suggest forgoing free shipping from a billion dollar company and order from any one of these black owned bookstores",,,,1268535238499749889,https://twitter.com/IanRVA/status/1268535238499749889
2020-06-04 13:28:09,acecallwood,,5,0,36,"On location filming this morning. Crew and everything. Old (late 60s maybe?) white dude rolls by - you know, suit and tie driving his Lexus - and yells ""GO TO WORK"" and *that*, my friends, is all you need to know about the old guard in Richmond. #rva – at Robert E. Lee Monument",,,#rva,1268535011294265347,https://twitter.com/acecallwood/status/1268535011294265347
2020-06-04 13:27:27,_ImJuice,dARTIST_,0,0,0,"Yeah you always Turnt ",,,,1268534834173001729,https://twitter.com/_ImJuice/status/1268534834173001729
2020-06-04 13:26:27,PensfanRVA,,0,0,1,"I'm at Christian & Barton in Richmond, VA",,,,1268534582879686661,https://twitter.com/PensfanRVA/status/1268534582879686661
2020-06-04 13:26:18,idratherbsmokn,n3llyvylle,1,0,1,"U sure u ain’t my twin?!",,,,1268534546951221249,https://twitter.com/idratherbsmokn/status/1268534546951221249
2020-06-04 13:25:21,Radioblitz,,0,8,14,"In order for black people to truly unify and be liberated our love and desire to unify has to supercede religion, social or economic status, sexual orientation etc. these are the subjects that divide us most",,,,1268534306047131650,https://twitter.com/Radioblitz/status/1268534306047131650
2020-06-04 13:24:43,_keyloves,,0,0,1,"I be so weak when I see someone say “this you?” because it is usually no coming back after what follows ",,,,1268534147720646657,https://twitter.com/_keyloves/status/1268534147720646657
2020-06-04 13:23:45,shxtfire,,2,2,21,"So let me start the process of getting my gun permits",,,,1268533903637217280,https://twitter.com/shxtfire/status/1268533903637217280
2020-06-04 13:23:27,moralesamj,RealHouseMark,0,0,0,"Hahaha get it? Because Donald Trump doesnt give a fuck about anyone but himself? Who would thought??",,,,1268533829251272704,https://twitter.com/moralesamj/status/1268533829251272704
2020-06-04 13:23:22,AMAZEN35,,0,0,0,"Be so private they can’t do nothing but assume ",,,,1268533806576865283,https://twitter.com/AMAZEN35/status/1268533806576865283
2020-06-04 13:23:00,bobbycouto007,,0,1,9,"Summers here.. follow me on TikTok #rockstar #tattoomodel #tattooed #hairy #hairyarmpits #hairycub #hairychest #hairychestgay #gayman #hairygaymen #bobbycouto",,,#rockstar #tattoomodel #tattooed #hairy #hairyarmpits #hairycub #hairychest #hairychestgay #gayman #hairygaymen #bobbycouto,1268533713937338369,https://twitter.com/bobbycouto007/status/1268533713937338369
2020-06-04 13:22:49,Radioblitz,LadyBelle416,1,0,2,"It has to supercede religion, social status, sexual orientation in order for us to truly get there",,,,1268533669066670090,https://twitter.com/Radioblitz/status/1268533669066670090
2020-06-04 13:22:05,BossRVA,feistyfae007,1,0,0," ",,,,1268533483904868354,https://twitter.com/BossRVA/status/1268533483904868354
2020-06-04 13:21:10,ColorfulChaos1,,0,0,1,"TODAY IS “Time OUT THURSDAY “ I WILL NOT RESPOND TO ANY NEGATIVITY ON SOCIAL MEDIA! NOT TODAY SATAN NOT TODAY",,,,1268533254895865857,https://twitter.com/ColorfulChaos1/status/1268533254895865857
2020-06-04 13:20:58,currrrls,balleralert,0,0,0,"Too late!!",,,,1268533203859537927,https://twitter.com/currrrls/status/1268533203859537927
2020-06-04 13:20:46,FPWellman,mikejason73,0,0,0,"No. Mad King Donald can hear the peasants revolting when he’s on the golden toilet.",,,,1268533153758666753,https://twitter.com/FPWellman/status/1268533153758666753
2020-06-04 13:19:49,blamberr,buck_mitchell,0,0,2,"We were founded by violent outcasts who didn’t want to pay taxes. This is what you get.",,,,1268532913903190017,https://twitter.com/blamberr/status/1268532913903190017
2020-06-04 13:15:44,judgelanceito_,carbonleaf,0,0,0,"Beautifully written.",,,,1268531887267594240,https://twitter.com/judgelanceito_/status/1268531887267594240
2020-06-04 13:15:19,kayla_blank96,,0,0,1,"all smiles until we choked on the blunt",,,,1268531779968925702,https://twitter.com/kayla_blank96/status/1268531779968925702
2020-06-04 13:14:37,NotMikeLee1,,0,0,0,"When Drew Brees and Riley Cooper link",,,,1268531603686526977,https://twitter.com/NotMikeLee1/status/1268531603686526977
2020-06-04 13:14:16,JulieLinden5,BBCWorld,0,0,0,"",,,,1268531518420516864,https://twitter.com/JulieLinden5/status/1268531518420516864
2020-06-04 13:14:12,biqsleazz,,0,1,1,"https://twitter.com/BleacherReport/status/1268524775267282944",,,,1268531499336380418,https://twitter.com/biqsleazz/status/1268531499336380418
2020-06-04 13:13:41,bosshogg4628,kimrocheleau,0,0,0,"What?",,,,1268531369300430849,https://twitter.com/bosshogg4628/status/1268531369300430849
2020-06-04 13:13:37,idratherbsmokn,twiggy_slim,0,0,0,"No bullshit!",,,,1268531352145743872,https://twitter.com/idratherbsmokn/status/1268531352145743872
2020-06-04 13:13:26,shxtfire,,0,0,1,"Did you read it or are you just talking out the side of your neck? Cause it clearly only references reform to policing, documentation and citizens review boards? Now how would holding people accountable destroy the economy?? Hmm https://twitter.com/daphneevan/status/1268526113187397632",,,,1268531306658516992,https://twitter.com/shxtfire/status/1268531306658516992
2020-06-04 13:12:50,DaleFickett,,0,0,0,"We must engage in authentic dialogue about truly creating Opportunity for All. This moment illuminates the need to change an economic system that marginalizes, stigmatizes, suffers brutality, and perpetuates division. #GeorgeFloyd #educateyourself #PoliceBrutality #economy",,,#GeorgeFloyd #educateyourself #PoliceBrutality #economy,1268531158104584193,https://twitter.com/DaleFickett/status/1268531158104584193
2020-06-04 13:12:20,_ImJuice,,0,1,0,"I Know you fucked up bout my decision, But fuck You this how I’m living ..",,,,1268531032585879556,https://twitter.com/_ImJuice/status/1268531032585879556
2020-06-04 13:11:42,idratherbsmokn,,0,1,0,"Who I gotta pay to let my body allow me to sleep for 8hrs?",,,,1268530871709192192,https://twitter.com/idratherbsmokn/status/1268530871709192192
2020-06-04 13:11:29,jjwarren97,,0,0,1,"I'm at Chesterfield Juvenile Detention Center in VA w/ @bryan_warren https://www.swarmapp.com/c/7R5AD55ofVx",,@bryan_warren,,1268530816948277248,https://twitter.com/jjwarren97/status/1268530816948277248
2020-06-04 13:10:11,reallycree,,0,0,0,"Happy Birthday to my sister from another mister! About 22 years of laughter, life & love exists between us - I pray that this next trip around the sun brings you more joy than your heart can hold! Be good honey! I… https://www.instagram.com/p/CBA6vWIjNz_/?igshid=rpnpkbtli2m8",,,,1268530490073645058,https://twitter.com/reallycree/status/1268530490073645058
2020-06-04 13:08:44,AMAZEN35,,0,0,0,"Meetings ",,,,1268530123034198017,https://twitter.com/AMAZEN35/status/1268530123034198017
2020-06-04 13:07:39,NotMikeLee1,,0,0,0,"Just waiting to be somebody’s somebody",,,,1268529850899468288,https://twitter.com/NotMikeLee1/status/1268529850899468288
2020-06-04 13:06:19,iamaripoison,,0,0,0,"hungryyyyyy",,,,1268529517041201153,https://twitter.com/iamaripoison/status/1268529517041201153
2020-06-04 13:06:10,DanjaMowF,,0,0,1,"These are amazing images. These statues have been here so long I became so desensitized and honestly respectfully apprehensive about the removal. . The comparison that sticks with me is how your house can stink;… https://www.instagram.com/p/CBA6RwSjNnF/?igshid=1t9eo411mlybk",,,,1268529479963545601,https://twitter.com/DanjaMowF/status/1268529479963545601
2020-06-04 13:05:41,_ImJuice,,0,1,1,"“Don’t Love Me Don’t Trust Me Baby I’m Not Worth Ya Tears” -@OnlyTrustUs_ ",,@OnlyTrustUs_,,1268529358966272000,https://twitter.com/_ImJuice/status/1268529358966272000
2020-06-04 13:05:16,idratherbsmokn,ChiaraLaNegra,1,0,1,"Like a blind man!",,,,1268529251478900744,https://twitter.com/idratherbsmokn/status/1268529251478900744
2020-06-04 13:05:12,elander777,biancoresearch,0,0,0,"If a larger percentage of Americans are now working from home on a permanent basis, we might never ""get all the way back-""even if the unemployment rate moved to 3.5%. #coronavirus #economy $spx",,,#coronavirus #economy,1268529237163737090,https://twitter.com/elander777/status/1268529237163737090
2020-06-04 13:04:13,milesjones_rps,,0,0,0,"Pick up ends today at 12:30 @Miles JonesElementary https://www.instagram.com/p/CBA6DlzDkChxd3nQ1_N0KtkiTHRZ3WayNNVj7A0/?igshid=tw91evxmn4ds",,,,1268528987258728449,https://twitter.com/milesjones_rps/status/1268528987258728449
2020-06-04 13:03:36,NotMikeLee1,,0,0,0,"Goodnight y’all !! I love y’all be safe",,,,1268528833482940418,https://twitter.com/NotMikeLee1/status/1268528833482940418
2020-06-04 13:03:33,antbesnappin,huniqkua_,0,0,1,"Trust me I said the same thing yesterday ",,,,1268528821545971714,https://twitter.com/antbesnappin/status/1268528821545971714
2020-06-04 13:02:57,NotMikeLee1,,0,0,0,"Y’all ever wonder is there somebody that just be happy to hear from you on a day to day. I know I’m not that person to anybody that isn’t family",,,,1268528668751605760,https://twitter.com/NotMikeLee1/status/1268528668751605760
2020-06-04 13:02:56,CMReaK,TPM,0,0,0,"Your photo is out of date! ",,,,1268528665320710152,https://twitter.com/CMReaK/status/1268528665320710152
2020-06-04 13:02:52,antbesnappin,huniqkua_,0,0,1,"Bojangles, Ensteins Bagels, Dunkin’ Donuts",,,,1268528649910849538,https://twitter.com/antbesnappin/status/1268528649910849538
2020-06-04 13:02:30,_ImJuice,yungmaratwo,0,0,0,"Naaaaa, I was gone say Shidd slide me some too! ",,,,1268528554058416130,https://twitter.com/_ImJuice/status/1268528554058416130
2020-06-04 13:02:06,_ImJuice,,0,0,0,"One Shot collapsed To his Knees. Ain’t Even have to let off the other 15.",,,,1268528456763150346,https://twitter.com/_ImJuice/status/1268528456763150346
2020-06-04 13:01:43,Jai2wavy,,0,0,0,"Drew Brees only apologized cause he was getting bashed gtf on bro with that weak ass apology stand on what you said fuck nigga ",,,,1268528359295909889,https://twitter.com/Jai2wavy/status/1268528359295909889
2020-06-04 13:01:43,antbesnappin,,0,0,0,"Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! http://chng.it/CJB5X4Gr via @Change",,@Change,,1268528358050193408,https://twitter.com/antbesnappin/status/1268528358050193408
2020-06-04 13:01:17,felixtheforager,,0,3,11,"Do we have alternative apps to use instead of twitter Snapchat Facebook? I think this would be a great time for us to stop supporting these platforms",,,,1268528249262485507,https://twitter.com/felixtheforager/status/1268528249262485507
2020-06-04 13:00:57,idratherbsmokn,ChiaraLaNegra,1,0,1,"Now this deserves a toast ",,,,1268528164998983682,https://twitter.com/idratherbsmokn/status/1268528164998983682
2020-06-04 13:00:43,antbesnappin,,0,0,4,"Be safe n have a blessed day!",,,,1268528109063716865,https://twitter.com/antbesnappin/status/1268528109063716865
2020-06-04 12:59:42,_ImJuice,yungmaratwo,0,0,0,"What time yo lunch?",,,,1268527850027655170,https://twitter.com/_ImJuice/status/1268527850027655170
2020-06-04 12:59:36,antbesnappin,itsnotjaiden,0,0,1,"Predominantly white elementary middle n high school fam ",,,,1268527827923734529,https://twitter.com/antbesnappin/status/1268527827923734529
2020-06-04 12:59:04,_ImJuice,,0,0,0,"Now When She Call 5k On The Averageee!",,,,1268527690384060416,https://twitter.com/_ImJuice/status/1268527690384060416
2020-06-04 12:58:47,_ImJuice,,0,0,0,"Mama Said Stay where you at she ain’t having it ..",,,,1268527619961761792,https://twitter.com/_ImJuice/status/1268527619961761792
2020-06-04 12:58:43,AmyBlackTattoos,,0,0,0,"@icavcu @vmfa here’s your shot. Project this photo up on your walls tonite+ If this doesnt represent some of the best use of art right now im not sure what does. Whoever organized projecting this onto the… https://www.instagram.com/p/CBA5OtPAg7P/?igshid=12hm74rqj1lak",,@ICAVCU @vmfa,,1268527604438573060,https://twitter.com/AmyBlackTattoos/status/1268527604438573060
2020-06-04 12:58:17,idratherbsmokn,,1,3,7,"I might accidentally laugh in the middle of a serious argument",,,,1268527493721608192,https://twitter.com/idratherbsmokn/status/1268527493721608192
2020-06-04 12:58:05,VctmsAndVillans,theallbros,1,0,0,"The house actually lost balance & fell onto top of him",,,,1268527446472753152,https://twitter.com/VctmsAndVillans/status/1268527446472753152
2020-06-04 12:57:55,triviamom1,BruceBthatBaker,0,0,0,"Oh, you gotta read the whole thing. It’s quite the read. ",,,,1268527402805866496,https://twitter.com/triviamom1/status/1268527402805866496
2020-06-04 12:57:33,_ImJuice,,0,0,0,"Bro Ain’t Get to See The Crib we had to carry his Casket.. ",,,,1268527309574807560,https://twitter.com/_ImJuice/status/1268527309574807560
2020-06-04 12:57:01,AmyBlackTattoos,,0,0,0,"@icavcu @vmfa here’s your shot. Project this photo up on your walls tonite+ If this doesnt represent some of the best use of art right now im not sure what does. Whoever organized projecting this onto the… https://www.instagram.com/p/CBA5OtPAg7P/?igshid=1l9mhg49g6kob",,@ICAVCU @vmfa,,1268527173926862849,https://twitter.com/AmyBlackTattoos/status/1268527173926862849
2020-06-04 12:56:53,_ImJuice,,0,0,0,"Started Off Shooting Baskets , Turned to Skipping Classes..",,,,1268527141081296897,https://twitter.com/_ImJuice/status/1268527141081296897
2020-06-04 12:56:14,_ImJuice,,0,0,0,"Tryna Learn from Mistakes Like my last one Cause I gotta Son!",,,,1268526979432710147,https://twitter.com/_ImJuice/status/1268526979432710147
2020-06-04 12:55:22,_ImJuice,,0,0,0,"Looking Back at Shit From My Pass Ain’t Too much I ain’t done ..",,,,1268526759529586688,https://twitter.com/_ImJuice/status/1268526759529586688
2020-06-04 12:53:43,_rissagoalder,Sh0n_d0gg,1,0,0,"use canva! they have premade things that you can totally customize or you can start from scratch and it’s mostly free",,,,1268526344884928516,https://twitter.com/_rissagoalder/status/1268526344884928516
2020-06-04 12:53:24,_ImJuice,,0,0,0,"He Won’t Shake My Hand He know his baby mama a freak..",,,,1268526267244167168,https://twitter.com/_ImJuice/status/1268526267244167168
2020-06-04 12:53:20,Frazier_DW,,0,0,4,"I can’t help but have hope and joy in the middle of this country’s evolution. My baby girl will soon arrive.",,,,1268526247367389184,https://twitter.com/Frazier_DW/status/1268526247367389184
2020-06-04 12:52:53,triviamom1,BruceBthatBaker,1,0,1,"Psychedelic toad venom! ",,,,1268526136562237440,https://twitter.com/triviamom1/status/1268526136562237440
2020-06-04 12:52:38,_Calvinoo,KyleMacchi,0,0,1,"VOTE!!!! VOTE!!!! VOTE!!!! It’s time to kill the narrative that the black vote does not matter when it does. So please VOTE!!!!!",,,,1268526074066952193,https://twitter.com/_Calvinoo/status/1268526074066952193
2020-06-04 12:52:11,96Jacket19,drewbrees,0,0,1,"Thank you Jesus",,,,1268525960359444482,https://twitter.com/96Jacket19/status/1268525960359444482
2020-06-04 12:51:46,NotMikeLee1,,2,0,0,"After Drew Brees hit Michael Thomas on a 4 yard slant",,,,1268525854591717377,https://twitter.com/NotMikeLee1/status/1268525854591717377
2020-06-04 12:51:34,iottoknow,davidhogg111,0,0,1,"Holy shit, THIS.",,,,1268525802712334336,https://twitter.com/iottoknow/status/1268525802712334336
2020-06-04 12:50:50,maieshahawkins,,0,0,1,"When your Shaman friend sends you goodies all the way from Jamaica #whenyousitwithwinners the conversations are different ",,,#whenyousitwithwinners,1268525621057064961,https://twitter.com/maieshahawkins/status/1268525621057064961
2020-06-04 12:50:40,_ImJuice,,0,1,0,"Ain’t gotta Instagram Shit Really in this shit..",,,,1268525576333246464,https://twitter.com/_ImJuice/status/1268525576333246464
2020-06-04 12:50:08,_ImJuice,,0,0,0,"They Ain’t Shitting What I Eat , & You Can’t Get Rich Off a Tweet .",,,,1268525445559005184,https://twitter.com/_ImJuice/status/1268525445559005184
2020-06-04 12:48:02,TownofAshland,,0,0,1,"This is our community. We aren’t perfect, but we love all and serve all. #cotu #iloveashlandva @Town of Ashland, Virginia https://www.instagram.com/p/CBA4NNhlMWB/?igshid=1wnh34skch1v6",,,#cotu #iloveashlandva,1268524916862709762,https://twitter.com/TownofAshland/status/1268524916862709762
2020-06-04 12:47:20,Not_a_Dog_Bed,,1,0,1,"Please. Tell me more about how Monument Ave, the Robert E. Lee statue, and the neighborhood’s history weren’t born out of racism.",,,,1268524740525854720,https://twitter.com/Not_a_Dog_Bed/status/1268524740525854720
2020-06-04 12:47:13,BigSavings,pjsykes,1,0,0,"Maybe Mexico will pay for it.",,,,1268524710989565959,https://twitter.com/BigSavings/status/1268524710989565959
2020-06-04 12:46:50,Dc5coco,,0,0,0,"Working under the sun is not the moves today",,,,1268524615271419904,https://twitter.com/Dc5coco/status/1268524615271419904
2020-06-04 12:46:40,NotMikeLee1,DOPEITSJULIUS,0,0,0,"Cuz twitter",,,,1268524569356312577,https://twitter.com/NotMikeLee1/status/1268524569356312577
2020-06-04 12:46:39,djmentosdotcom,DarthLavariz,0,0,0,"SPF 666",,,,1268524568119050240,https://twitter.com/djmentosdotcom/status/1268524568119050240
2020-06-04 12:46:14,isdatmyqu3,SportsCenter,0,0,1,"When they show you who they are- believe them (the first time) ",,,,1268524462368075778,https://twitter.com/isdatmyqu3/status/1268524462368075778
2020-06-04 12:46:06,judgelanceito_,sarahcues,1,0,0,"I had to cave. My home office is the hottest room in the summer and the coldest room in the winter. All the open windows and fans weren’t helping.",,,,1268524426787684353,https://twitter.com/judgelanceito_/status/1268524426787684353
2020-06-04 12:45:12,NotMikeLee1,ScubaSteve757,0,0,0,"Akame Ga Kill vibes lol",,,,1268524200119107590,https://twitter.com/NotMikeLee1/status/1268524200119107590
2020-06-04 12:44:42,blamberr,,0,0,2,"",,,,1268524075942633472,https://twitter.com/blamberr/status/1268524075942633472
2020-06-04 12:44:42,_ImJuice,,0,0,0,"Diamonds Dancing Ain’t Checked the tine in a minute.",,,,1268524074927521792,https://twitter.com/_ImJuice/status/1268524074927521792
2020-06-04 12:44:17,sgtstoopid,nerdythor,0,0,1,"It’s a headass",,,,1268523969671565315,https://twitter.com/sgtstoopid/status/1268523969671565315
2020-06-04 12:44:02,mohsalehha,tysrevival,0,0,0,"Yo this is Richmond on Broad by VCU ",,,,1268523908455698434,https://twitter.com/mohsalehha/status/1268523908455698434
2020-06-04 12:43:53,mlwallace_,,0,0,1,"I still think Bernie Sanders would have been the only presidential candidate to make even the slightest change in the country",,,,1268523872288210944,https://twitter.com/mlwallace_/status/1268523872288210944
2020-06-04 12:43:30,blamberr,,8,3,16,"I just solved the confederate monument issue! Instead of taking them down, let’s build a bigger statue of William Tecumseh Sherman right across the street from every one of them. Boom. Solved. #nailedit #sherman4ever",,,#nailedit #sherman4ever,1268523776381198336,https://twitter.com/blamberr/status/1268523776381198336
2020-06-04 12:42:50,NotMikeLee1,ODU,0,0,0,"Hampton would fuckin neva",,,,1268523608059645959,https://twitter.com/NotMikeLee1/status/1268523608059645959
2020-06-04 12:42:27,NotMikeLee1,WhyG0hard,0,0,0,"Aye relax",,,,1268523509552238592,https://twitter.com/NotMikeLee1/status/1268523509552238592
